Algorithm,ActiveStations,InstalledCapacity_MW,Lmax_percent,HCM_percent,CSI_percent
B&C,8,6.675,118.6,-18.6,18.6
BIPSO-GR,6,15.701,157.3,-57.3,57.3
Hybrid,8,6.279,116.2,-16.2,16.2
